City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
391,Prince Rupert,CA,54.3161,-130.3201,46.49,76,0,6.91,clear sky
392,Kailua,US,21.4022,-157.7394,80.58,67,75,10.36,light rain
393,Waipawa,NZ,-41.4122,175.5153,57.94,88,98,3.02,overcast clouds
394,Moche,PE,-8.1711,-79.0092,69.98,88,40,9.22,fog
395,Noyabrsk,RU,63.1994,75.4507,18.41,96,100,16.15,overcast clouds
396,Mandalgovi,MN,45.7625,106.2708,22.95,79,96,9.75,overcast clouds
397,Bowen,AU,-20.0167,148.2333,75.85,84,25,4.65,scattered clouds
398,Upata,VE,8.0086,-62.3989,79.5,60,100,7.72,overcast clouds
399,Oxkutzcab,MX,20.3,-89.4167,89.22,35,23,8.93,few clouds
400,Abu Zabad,SD,12.35,29.25,73.44,13,2,12.26,clear sky
401,Zapolyarnyy,RU,69.4154,30.8136,21.6,82,100,9.64,light snow
402,Sinnamary,GF,5.3833,-52.95,77.25,83,100,12.86,overcast clouds
403,Port Blair,IN,11.6667,92.75,79.93,81,73,7.81,broken clouds
404,Mogadishu,SO,2.0371,45.3438,80.13,77,68,20.54,broken clouds
405,Cabo San Lucas,MX,22.8909,-109.9124,84.61,44,4,9.44,clear sky
406,San Patricio,US,28.017,-97.5169,85.17,50,1,20.45,clear sky
407,Rybnaya Sloboda,RU,55.4613,50.1409,18.28,89,100,14.14,overcast clouds
408,Changying,CN,52.8733,123.3213,10.44,87,19,5.21,few clouds
409,Ascension,US,30.2169,-90.9001,84.07,50,0,12.66,clear sky
410,Bantry,IE,51.6833,-9.45,45.79,86,15,4.09,few clouds
411,Gloversville,US,43.0528,-74.3438,21.18,62,100,11.5,overcast clouds
412,Sistranda,NO,63.7256,8.834,33.76,59,100,22.55,overcast clouds
413,Sur,OM,22.5667,59.5289,80.65,47,3,5.1,clear sky
414,Kutum,SD,14.2,24.6667,63.28,8,5,11.68,clear sky
415,Gorokhovets,RU,56.1947,42.7003,31.59,99,100,8.57,snow
416,Nueva Helvecia,UY,-34.3,-57.2333,69.31,65,7,8.68,clear sky
417,Seymchan,RU,62.8833,152.4333,3.6,87,100,6.51,overcast clouds
418,Tirthahalli,IN,13.7,75.2333,71.89,95,84,3.49,broken clouds
419,Lerik,AZ,38.7726,48.4128,31.64,97,100,2.17,overcast clouds
420,Lagoa,PT,39.05,-27.9833,59.41,80,39,6.04,scattered clouds
421,Annau,TM,37.8876,58.516,45.9,61,100,20.71,overcast clouds
422,Nivala,FI,63.9167,24.9667,13.68,96,35,3.8,scattered clouds
423,Sapouy,BF,11.5544,-1.7736,86.74,11,6,6.26,clear sky
424,Youhao,CN,47.8667,128.8333,37.47,55,100,11.83,light rain
425,Brae,GB,60.3964,-1.353,39.87,64,100,8.1,overcast clouds
426,Kamenka,RU,51.3223,42.7678,35.46,74,100,25.3,overcast clouds
427,Samfya,ZM,-11.3649,29.5565,66.18,93,92,8.57,overcast clouds
428,Constitucion,CL,-35.3333,-72.4167,60.06,68,0,13.2,clear sky
429,Miyako,JP,39.6367,141.9525,37.63,61,68,3.51,broken clouds
430,Muncar,ID,-8.4333,114.3333,75.34,91,92,2.91,overcast clouds
431,Severo-Kurilsk,RU,50.6789,156.125,28.17,85,100,40.65,light snow
432,Bukama,CD,-9.2,25.85,69.84,97,100,2.44,light rain
433,Lerwick,GB,60.1545,-1.1494,39.2,63,100,7.65,overcast clouds
434,Plainview,US,40.7765,-73.4673,30.74,31,0,17.27,clear sky
435,Cody,US,44.5263,-109.0565,73.9,10,0,15.01,clear sky
436,Cockburn Town,TC,21.4612,-71.1419,76.51,69,0,17.9,clear sky
437,Kitui,KE,-1.367,38.0106,65.28,94,43,3.22,light rain
438,Akyab,MM,20.15,92.9,76.33,90,57,3.2,broken clouds
439,Aksakovo,BG,43.25,27.8167,44.1,88,100,3.44,overcast clouds
440,Saquena,PE,-4.6667,-73.5167,77.7,90,81,1.74,broken clouds
441,Byron Bay,AU,-28.65,153.6167,69.69,93,100,16.93,heavy intensity rain
442,Gigmoto,PH,13.7796,124.39,79.38,88,82,11.21,broken clouds
443,Zomin,UZ,39.9606,68.3958,49.55,60,19,3.69,few clouds
444,Klyuchi,RU,52.2667,79.1667,30.56,97,100,7.2,overcast clouds
445,Ulladulla,AU,-35.35,150.4667,68.77,90,100,10.2,light rain
446,Baturaja,ID,-4.1333,104.1667,73.11,94,47,1.63,scattered clouds
447,Pula,HR,44.8683,13.8481,48.76,93,40,6.91,scattered clouds
448,Gimli,CA,50.6336,-96.9907,30.22,51,100,13.8,overcast clouds
449,Rocky Mountain House,CA,52.3668,-114.9188,33.91,75,100,11.5,overcast clouds
450,Chekhov,RU,55.1431,37.4711,35.49,81,100,12.35,overcast clouds
451,Reshetylivka,UA,49.565,34.0782,44.73,51,42,20.15,scattered clouds
452,Eyl,SO,7.9803,49.8164,77.95,75,8,12.37,clear sky
